transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,revenue
196,2025-01-01,12:48:08,2,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,7.5
80,2025-01-01,10:00:39,2,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6
481,2025-01-01,18:17:09,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5
110,2025-01-01,11:03:25,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5
523,2025-01-01,19:10:16,2,3,Astoria,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7
533,2025-01-01,19:29:07,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,3.75
85,2025-01-01,10:16:33,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5
369,2025-01-01,16:00:23,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75
133,2025-01-01,11:30:22,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5
365,2025-01-01,15:53:55,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7
185,2025-01-01,12:36:57,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
11,2025-01-01,7:43:05,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55
74,2025-01-01,9:53:44,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5
221,2025-01-01,13:03:13,2,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,6
279,2025-01-01,14:03:34,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
83,2025-01-01,10:14:49,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75
383,2025-01-01,16:19:26,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5
7,2025-01-01,7:25:49,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2
219,2025-01-01,13:02:40,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5
449,2025-01-01,17:41:55,2,3,Astoria,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,8
397,2025-01-01,16:40:18,1,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,3.5
168,2025-01-01,12:08:21,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,3
469,2025-01-01,18:02:21,2,5,Lower Manhattan,49,3,Tea,Brewed Black tea,English Breakfast Lg,6
173,2025-01-01,12:14:26,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2
82,2025-01-01,10:14:49,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3
