Client ID,Last purchased date,Item name,last_purchase_stage,Purchased product category,Purchased product subcategory,Purchased coach,Item Total,acquisition_date
100000000,2024-09-27,10 Semi Private (1:2 Lesson)  w/ Jasper Park,lesson,lesson,10 group lesson,Jasper Park,2380.0,2024-09-27
100000000,2024-10-07,100 Practice Credits,practice,practice,100 practice,others,0.0,2024-09-27
100000000,2024-10-07,20 Lesson Pack (Jasper Park),lesson,lesson,20 lesson,Jasper Park,0.0,2024-09-27
100000001,2024-12-16,Trial Lesson w/ Jasper,trial,trial,Trial lesson,Jasper Park,0.0,2024-12-16
100000004,2024-10-07,10 Practice Credits,practice,practice,10 practice,others,156.96,2024-10-07
100000004,2024-10-07,20 Lesson Pack (Jiali Khee.),lesson,lesson,20 lesson,Jiali Khee,1853.0,2024-10-07
100000004,2024-10-07,25 Practice Credits,practice,practice,25 practice,others,408.75,2024-10-07
100000004,2025-01-02,50 Lesson Pack  (Jiali Khee),lesson,lesson,50 lesson,Jiali Khee,0.0,2024-10-07
100000004,2025-03-17,Group Trial Jiali,trial,trial,Group Trial,Jiali Khee,196.2,2024-10-07
100000005,2024-11-13,100 Practice Credits,practice,practice,100 practice,others,0.0,2024-11-13
100000005,2024-12-09,10 Lesson Pack (Jasper  Park),lesson,lesson,10 lesson,Jasper Park,0.0,2024-11-13
100000005,2024-12-09,30 Mins 1:1 Lesson W/ Aiko H,lesson,lesson,30 mins lesson,Aiko H,0.0,2024-11-13
100000005,2024-12-09,30 Mins 1:1 Lesson W/ Jasper,lesson,lesson,30 mins lesson,Jasper Park,0.0,2024-11-13
100000005,2024-12-09,Trial Lesson w/ Jasper,trial,trial,Trial lesson,Jasper Park,0.0,2024-11-13
100000005,2025-02-08,Trial Lesson W/ Johnson Poh,trial,trial,Trial lesson,Johnson Poh,119.9,2024-11-13
100000005,2025-03-05,Trial Lesson W/ Joey Poh,trial,trial,Trial lesson,Joey Poh,119.9,2024-11-13
100000005,2025-05-04,30 Mins 1:1 Lesson W/ Joey Poh,lesson,lesson,30 mins lesson,Joey Poh,119.9,2024-11-13
100000005,2025-06-08,30 Mins 1:1 Lesson W/ Johnson Poh,lesson,lesson,30 mins lesson,Johnson Poh,119.9,2024-11-13
100000006,2024-10-16,10 Lesson Pack  (Johnson Poh),lesson,lesson,10 lesson,Johnson Poh,0.0,2024-10-16
100000006,2024-10-16,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-10-16
100000007,2024-12-09,50 Lesson Pack (Jasper Park),lesson,lesson,50 lesson,Jasper Park,0.0,2024-12-09
100000007,2024-12-09,Trial Lesson W/ Joey Poh,trial,trial,Trial lesson,Joey Poh,0.0,2024-12-09
100000007,2024-12-09,Trial Lesson W/ Paul F,trial,trial,Trial lesson,Paul Finch,0.0,2024-12-09
100000007,2024-12-09,Trial Lesson w/ Jasper,trial,trial,Trial lesson,Jasper Park,0.0,2024-12-09
100000007,2024-12-30,100 Practice Credits,practice,practice,100 practice,others,0.0,2024-12-09
100000007,2025-01-05,30 Mins 1:1 Lesson W/ Joey Poh,lesson,lesson,30 mins lesson,Joey Poh,119.9,2024-12-09
100000007,2025-02-18,30 Mins 1:1 Lesson W/ Joey Poh,lesson,lesson,30 mins lesson,Joey Poh,119.9,2024-12-09
100000007,2025-03-02,10 Lesson Pack (Jiali Khee.),lesson,lesson,10 lesson,Jiali Khee,0.0,2024-12-09
100000007,2025-04-03,Trial Lesson W/ Desmond Tan,trial,trial,Trial lesson,Desmond Tan,0.0,2024-12-09
100000007,2025-04-15,Trial Lesson W/ Son Gunwoo,trial,trial,Trial lesson,Son Gunwoo,59.95,2024-12-09
100000008,2024-10-16,100 Practice Credits,practice,practice,100 practice,others,0.0,2024-10-16
100000008,2025-04-09,Trial Lesson W/ Son Gunwoo,trial,trial,Trial lesson,Son Gunwoo,59.95,2024-10-16
100000009,2024-10-21,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-10-21
100000010,2024-10-21,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-10-21
100000010,2025-02-08,25 Practice Credits,practice,practice,25 practice,others,408.75,2024-10-21
100000011,2024-10-21,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-10-21
100000012,2024-10-21,10 Lesson Pack (Paul Finch),lesson,lesson,10 lesson,Paul Finch,0.0,2024-10-21
100000012,2024-10-21,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-10-21
100000012,2025-01-03,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-10-21
100000012,2025-02-16,30 Mins Practice Credit,practice,practice,30 mins practice,others,21.8,2024-10-21
100000013,2024-10-21,10 Lesson Pack (Jasper  Park),lesson,lesson,10 lesson,Jasper Park,0.0,2024-10-21
100000013,2024-10-21,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-10-21
100000014,2024-10-21,100 Practice Credits,practice,practice,100 practice,others,0.0,2024-10-21
